,Unnamed: 0,25th,75th,band,days_between,max,mean,min,region,std,type,year,url
0,0,0.3426101803779602,0.7513730973005295,HV,16.0,0.9991807341575624,0.5431764721870422,5.375601540436037e-05,grmesa,0.2502092719078064,cor,2017.0,s3://snowex-data/uavsar-project/UAVSAR_images/grmesa_2017_002_260_0016d/grmesa_26006_17002-001_17016-001_0016d_s01_L090VV_02.cor.grd.tif
1,1,0.3092099130153656,0.7129558324813843,HV,19.0,0.9982139468193054,0.5073463320732117,4.3431045924080536e-05,grmesa,0.2439753264188766,cor,2017.0,s3://snowex-data/uavsar-project/UAVSAR_images/grmesa_2017_002_260_0019d/grmesa_26006_17002-001_17018-001_0019d_s01_L090VV_01.cor.grd.tif
2,2,0.316234290599823,0.7141487002372742,HV,30.0,0.9991439580917358,0.5145659446716309,9.473590762354434e-05,grmesa,0.2467179745435714,cor,2017.0,s3://snowex-data/uavsar-project/UAVSAR_images/grmesa_2017_002_260_0030d/grmesa_26006_17002-001_17026-001_0030d_s01_L090VV_01.cor.grd.tif
3,3,0.2662650942802429,0.6586731672286987,HV,53.0,0.9998446702957152,0.4651069939136505,0.0001444271329091,grmesa,0.2448012977838516,cor,2017.0,s3://snowex-data/uavsar-project/UAVSAR_images/grmesa_2017_002_260_0053d/grmesa_26006_17002-001_17043-005_0053d_s01_L090VV_01.cor.grd.tif
4,4,0.389630489051342,0.796124055981636,HV,3.0,0.9990814328193665,0.5830054879188538,8.55509570101276e-05,grmesa,0.2443190515041351,cor,2017.0,s3://snowex-data/uavsar-project/UAVSAR_images/grmesa_2017_016_260_0003d/grmesa_26006_17016-001_17018-001_0003d_s01_L090VV_02.cor.grd.tif
5,5,0.365833431482315,0.778103232383728,HV,14.0,0.9997349977493286,0.5646461844444275,5.129599958308973e-05,grmesa,0.2483764588832855,cor,2017.0,s3://snowex-data/uavsar-project/UAVSAR_images/grmesa_2017_016_260_0014d/grmesa_26006_17016-001_17026-001_0014d_s01_L090VV_01.cor.grd.tif
6,6,0.2806062996387481,0.7126955986022949,HV,37.0,0.9993860721588136,0.4927924275398254,6.470620428444818e-05,grmesa,0.2559402585029602,cor,2017.0,s3://snowex-data/uavsar-project/UAVSAR_images/grmesa_2017_016_260_0037d/grmesa_26006_17016-001_17043-005_0037d_s01_L090VV_01.cor.grd.tif
7,7,0.3299087285995483,0.7709368616342545,HV,11.0,0.9990920424461364,0.5424878597259521,0.0001834462455008,grmesa,0.2550925314426422,cor,2017.0,s3://snowex-data/uavsar-project/UAVSAR_images/grmesa_2017_018_260_0011d/grmesa_26006_17018-001_17026-001_0011d_s01_L090VV_01.cor.grd.tif
8,8,0.3954248428344726,0.7476909309625626,HV,11.0,0.997934639453888,0.5636963844299316,8.027240983210504e-05,grmesa,0.2228653728961944,cor,2020.0,s3://snowex-data/uavsar-project/UAVSAR_images/grmesa_2020_003_274_0011d/grmesa_27416_20003-028_20005-007_0011d_s01_L090VV_01.cor.grd.tif
9,9,0.5028253942728043,0.8025158494710922,HV,7.0,1.0,0.6363475322723389,0.0003228666901122,grmesa,0.2087106555700302,cor,2020.0,s3://snowex-data/uavsar-project/UAVSAR_images/grmesa_2020_005_274_0007d/grmesa_27416_20005-007_20008-004_0007d_s01_L090VV_01.cor.grd.tif
